"Claim.Amount","Close.Amount","Disposition_Approve.in.Full","Disposition_Deny","Disposition_Settle","kmeansCluster"
300,300,1,0,0,4
405,265,1,0,0,4
190.79,191,1,0,0,4
21.74,22,1,0,0,4
517.75,0,0,1,0,3
3000,0,0,1,0,3
150,0,0,1,0,3
239,180.5,0,0,1,2
120,96.74,0,0,1,2
145,145,1,0,0,4
110,110,1,0,0,4
15,15,1,0,0,4
500,500,1,0,0,4
40,40,1,0,0,4
65,60,1,0,0,4
212,212,1,0,0,4
225,225,1,0,0,4
20,20,1,0,0,4
75,75,1,0,0,4
135,135,1,0,0,4
689.59,690,1,0,0,4
17.96,0,0,1,0,3
200,50,0,0,1,2
2056.74,980.22,0,0,1,2
92,70,0,0,1,2
106.19,106,1,0,0,4
145,0,1,0,0,4
26.75,27,1,0,0,4
140.9,141,1,0,0,4
409,409,1,0,0,4
50,50,1,0,0,4
225,225,1,0,0,4
50,45,0,0,1,2
85,20,0,0,1,2
300,300,1,0,0,4
48,48,1,0,0,4
357,357,1,0,0,4
300,300,1,0,0,4
115,115,1,0,0,4
689.59,690,1,0,0,4
30,30,1,0,0,4
499,499,1,0,0,4
25,25,1,0,0,4
150,150,1,0,0,4
260,260,1,0,0,4
450,235,1,0,0,4
30,30,1,0,0,4
10,0,1,0,0,4
152.25,152,1,0,0,4
25,25,1,0,0,4
400,400,1,0,0,4
30,30,1,0,0,4
250,0,0,1,0,3
85,85,0,1,0,3
2100,0,0,1,0,3
29.95,0,0,1,0,3
189,0,0,1,0,3
2300,2300,0,1,0,1
71830,0,0,1,0,1
90,0,0,1,0,3
250,0,0,1,0,3
120.01,0,0,1,0,3
299,50,0,0,1,2
1700,1346.3,0,0,1,2
3432,2328.5,0,0,1,1
300,140.73,0,0,1,2
1450,887.44,0,0,1,2
120,90,0,0,1,2
1899,1388.26,0,0,1,2
350,100,0,0,1,2
155,131.75,0,0,1,2
100,75,0,0,1,2
15,15,1,0,0,4
702.85,703,1,0,0,4
21.19,21,1,0,0,4
130,0,0,1,0,3
299.95,175,0,0,1,2
250,225,0,0,1,2
800,480,0,0,1,2
57.5,58,1,0,0,4
26.13,26,1,0,0,4
158,158,1,0,0,4
9.61,10,1,0,0,4
38.71,39,1,0,0,4
50,50,1,0,0,4
200,200,1,0,0,4
79.99,80,1,0,0,4
30,25,1,0,0,4
135,135,1,0,0,4
40,40,1,0,0,4
191.65,192,1,0,0,4
599,562,1,0,0,4
37.53,38,1,0,0,4
150,150,1,0,0,4
46.2,46,1,0,0,4
55,55,1,0,0,4
253.95,254,1,0,0,4
7.44,0,0,1,0,3
90,0,0,1,0,3
4338.84,0,0,1,0,3
500,0,0,1,0,3
30,15,0,0,1,2
100,50,0,0,1,2
2720,1350,0,0,1,2
250,183.75,0,0,1,2
352.99,150,0,0,1,2
110.7,99.75,0,0,1,2
15,15,1,0,0,4
140,133,0,0,1,2
1090,90,0,0,1,2
77,46.2,0,0,1,2
65.1,65.1,1,0,0,4
250,0,0,1,0,3
150,75,0,0,1,2
21.25,21,1,0,0,4
75,75,1,0,0,4
120,0,0,1,0,3
120,114,0,0,1,2
120,30,0,0,1,2
50,50,1,0,0,4
50,50,1,0,0,4
50,50,1,0,0,4
150,0,0,1,0,3
175,0,0,1,0,3
25,0,0,1,0,3
10,0,0,1,0,3
500,0,0,1,0,3
100,0,0,1,0,3
370,0,0,1,0,3
279,233.6,0,0,1,2
350,50,0,0,1,2
498,20,0,0,1,2
649.95,646.45,0,0,1,2
484,242,0,0,1,2
725,587.44,0,0,1,2
100,50,0,0,1,2
655,655,1,0,0,4
300,300,1,0,0,4
50,50,1,0,0,4
47.06,47,1,0,0,4
21,21,1,0,0,4
184,184,1,0,0,4
125,125,1,0,0,4
160,160,1,0,0,4
113.11,113,1,0,0,4
50,50,1,0,0,4
31,31,1,0,0,4
383,383,1,0,0,4
320,0,0,1,0,3
20050,0,0,1,0,1
953.91,0,0,1,0,3
50,15,0,0,1,2
5400.64,1625,0,0,1,1
100,50,0,0,1,2
2500,263.73,0,0,1,2
349,174.5,0,0,1,2
150,138.75,0,0,1,2
270,85,0,0,1,2
802.24,786.39,0,0,1,2
100,100,1,0,0,4
128,108,1,0,0,4
60,60,1,0,0,4
14.55,15,1,0,0,4
75,75,1,0,0,4
138,138,1,0,0,4
175,175,1,0,0,4
45,0,0,1,0,3
100,0,0,1,0,3
1050,0,0,1,0,3
575,0,0,1,0,3
350,0,0,1,0,3
95,48.5,0,0,1,2
179,125.3,0,0,1,2
116.99,117,1,0,0,4
1000,1000,1,0,0,4
299.6,300,1,0,0,4
400,0,0,1,0,3
1685,0,0,1,0,3
189.98,180.48,0,0,1,2
250,237.5,0,0,1,2
30,30,1,0,0,4
169.77,170,1,0,0,4
30,30,1,0,0,4
108,108,1,0,0,4
38.35,38,1,0,0,4
59.4,59.4,1,0,0,4
65,65,1,0,0,4
50,50,1,0,0,4
108.98,109,1,0,0,4
100,100,1,0,0,4
350,263,1,0,0,4
289.5,290,1,0,0,4
279,279,1,0,0,4
140,140,1,0,0,4
80,80,1,0,0,4
80,80,1,0,0,4
25,25,1,0,0,4
250,0,0,1,0,3
199.98,0,0,1,0,3
117.99,0,0,1,0,3
95,87,0,0,1,2
338.95,21.5,0,0,1,2
390,195,0,0,1,2
5000,1748,0,0,1,1
572,117.6,0,0,1,2
1300,1287.5,0,0,1,2
385,283,0,0,1,2
150,118.5,0,0,1,2
911.93,311.03,0,0,1,2
700,700,1,0,0,4
129,129,1,0,0,4
65,65,1,0,0,4
70,70,1,0,0,4
285,285,1,0,0,4
8,8,1,0,0,4
238.15,238.15,1,0,0,4
37.99,38,1,0,0,4
75,75,1,0,0,4
545,545,1,0,0,4
27,27,1,0,0,4
